province_state,country_region,date,latitude,longitude,location_geom,confirmed,deaths,recovered,active,fips,admin2,combined_key
Lazio,Italy,27/06/2021,"41,89277044","12,48366722",POINT(12.48366722 41.89277044),345816,8322,334023,3471,,,"Lazio, Italy"
Liguria,Italy,27/06/2021,"44,41149315","8,9326992",POINT(8.9326992 44.41149315),103406,4350,98882,174,,,"Liguria, Italy"
Lombardia,Italy,27/06/2021,"45,46679409","9,190347404",POINT(9.190347404 45.46679409),841552,33774,795931,11847,,,"Lombardia, Italy"
Marche,Italy,27/06/2021,"43,61675973","13,5188753",POINT(13.5188753 43.61675973),103614,3036,99163,1415,,,"Marche, Italy"
Molise,Italy,27/06/2021,"41,55774754","14,65916051",POINT(14.65916051 41.55774754),13717,491,13128,98,,,"Molise, Italy"
P.A. Bolzano,Italy,27/06/2021,"46,49933453","11,35662422",POINT(11.35662422 46.49933453),73288,1180,71932,176,,,"P.A. Bolzano, Italy"
P.A. Trento,Italy,27/06/2021,"46,06893511","11,12123097",POINT(11.12123097 46.06893511),45758,1362,44320,76,,,"P.A. Trento, Italy"
Piemonte,Italy,27/06/2021,"45,0732745","7,680687483",POINT(7.680687483 45.0732745),362849,11694,350094,1061,,,"Piemonte, Italy"
Puglia,Italy,27/06/2021,"41,12559576","16,86736689",POINT(16.86736689 41.12559576),253238,6640,242723,3875,,,"Puglia, Italy"
Sardegna,Italy,27/06/2021,"39,21531192","9,110616306",POINT(9.110616306 39.21531192),57207,1490,53362,2355,,,"Sardegna, Italy"
Sicilia,Italy,27/06/2021,"38,11569725","13,3623567",POINT(13.3623567 38.11569725),231371,5965,221038,4368,,,"Sicilia, Italy"
Toscana,Italy,27/06/2021,"43,76923077","11,25588885",POINT(11.25588885 43.76923077),244186,6861,234940,2385,,,"Toscana, Italy"
Umbria,Italy,27/06/2021,"43,10675841","12,38824698",POINT(12.38824698 43.10675841),56837,1419,54627,791,,,"Umbria, Italy"
Valle d'Aosta,Italy,27/06/2021,"45,73750286","7,320149366",POINT(7.320149366 45.73750286),11685,473,11176,36,,,"Valle d'Aosta, Italy"
Veneto,Italy,27/06/2021,"45,43490485","12,33845213",POINT(12.33845213 45.43490485),425313,11612,408989,4712,,,"Veneto, Italy"
,Jamaica,27/06/2021,"18,1096","-77,2975",POINT(-77.2975 18.1096),50005,1061,29830,19114,,,Jamaica
Aichi,Japan,27/06/2021,"35,035551","137,211621",POINT(137.211621 35.035551),51023,936,48659,1428,,,"Aichi, Japan"
Akita,Japan,27/06/2021,"39,748679","140,408228",POINT(140.408228 39.748679),835,20,743,72,,,"Akita, Japan"
Aomori,Japan,27/06/2021,"40,781541","140,828896",POINT(140.828896 40.781541),2477,30,2412,35,,,"Aomori, Japan"
Chiba,Japan,27/06/2021,"35,510141","140,198917",POINT(140.198917 35.510141),39893,703,38093,1097,,,"Chiba, Japan"
Ehime,Japan,27/06/2021,"33,624835","132,856842",POINT(132.856842 33.624835),2756,74,2664,18,,,"Ehime, Japan"
Fukui,Japan,27/06/2021,"35,846614","136,224654",POINT(136.224654 35.846614),1252,34,1041,177,,,"Fukui, Japan"
Fukuoka,Japan,27/06/2021,"33,526032","130,666949",POINT(130.666949 33.526032),35481,523,34344,614,,,"Fukuoka, Japan"
Fukushima,Japan,27/06/2021,"37,378867","140,223295",POINT(140.223295 37.378867),4851,158,4562,131,,,"Fukushima, Japan"
Gifu,Japan,27/06/2021,"35,778671","137,055925",POINT(137.055925 35.778671),9248,181,9087,-20,,,"Gifu, Japan"
Gunma,Japan,27/06/2021,"36,504479","138,985605",POINT(138.985605 36.504479),8032,153,7814,65,,,"Gunma, Japan"
Hiroshima,Japan,27/06/2021,"34,605309","132,788719",POINT(132.788719 34.605309),11476,172,11074,230,,,"Hiroshima, Japan"
Hokkaido,Japan,27/06/2021,"43,385711","142,552318",POINT(142.552318 43.385711),41238,1385,38516,1337,,,"Hokkaido, Japan"
Hyogo,Japan,27/06/2021,"35,039913","134,828057",POINT(134.828057 35.039913),41019,1281,39271,467,,,"Hyogo, Japan"
Ibaraki,Japan,27/06/2021,"36,303588","140,319591",POINT(140.319591 36.303588),10487,163,10027,297,,,"Ibaraki, Japan"
Ishikawa,Japan,27/06/2021,"36,769464","136,771027",POINT(136.771027 36.769464),3933,116,3764,53,,,"Ishikawa, Japan"
Iwate,Japan,27/06/2021,"39,593287","141,361777",POINT(141.361777 39.593287),1667,46,1563,58,,,"Iwate, Japan"
Kagawa,Japan,27/06/2021,"34,217292","133,969047",POINT(133.969047 34.217292),2093,29,2040,24,,,"Kagawa, Japan"
Kagoshima,Japan,27/06/2021,"31,009484","130,430665",POINT(130.430665 31.009484),3604,40,3600,-36,,,"Kagoshima, Japan"
Kanagawa,Japan,27/06/2021,"35,415312","139,338983",POINT(139.338983 35.415312),66876,943,64044,1889,,,"Kanagawa, Japan"
Kochi,Japan,27/06/2021,"33,422519","133,367307",POINT(133.367307 33.422519),1800,24,1671,105,,,"Kochi, Japan"
Kumamoto,Japan,27/06/2021,"32,608154","130,745231",POINT(130.745231 32.608154),6490,117,6266,107,,,"Kumamoto, Japan"
Kyoto,Japan,27/06/2021,"35,253815","135,443341",POINT(135.443341 35.253815),16560,238,16120,202,,,"Kyoto, Japan"
Mie,Japan,27/06/2021,"34,508018","136,376013",POINT(136.376013 34.508018),5245,111,5171,-37,,,"Mie, Japan"
Miyagi,Japan,27/06/2021,"38,446859","140,927086",POINT(140.927086 38.446859),9155,90,8949,116,,,"Miyagi, Japan"
Miyazaki,Japan,27/06/2021,"32,193204","131,299374",POINT(131.299374 32.193204),3073,26,3019,28,,,"Miyazaki, Japan"
Nagano,Japan,27/06/2021,"36,132134","138,045528",POINT(138.045528 36.132134),5026,90,4929,7,,,"Nagano, Japan"
Nagasaki,Japan,27/06/2021,"33,235712","129,608033",POINT(129.608033 33.235712),3164,69,3002,93,,,"Nagasaki, Japan"
Nara,Japan,27/06/2021,"34,317451","135,871644",POINT(135.871644 34.317451),8168,130,7964,74,,,"Nara, Japan"
Niigata,Japan,27/06/2021,"37,521819","138,918647",POINT(138.918647 37.521819),3402,46,3299,57,,,"Niigata, Japan"
Oita,Japan,27/06/2021,"33,200697","131,43324",POINT(131.43324 33.200697),3491,62,3393,36,,,"Oita, Japan"
Okayama,Japan,27/06/2021,"34,89246","133,826252",POINT(133.826252 34.89246),7588,126,7385,77,,,"Okayama, Japan"
Okinawa,Japan,27/06/2021,"25,768923","126,668016",POINT(126.668016 25.768923),20689,180,19111,1398,,,"Okinawa, Japan"
Osaka,Japan,27/06/2021,"34,620965","135,507481",POINT(135.507481 34.620965),103138,2643,98121,2374,,,"Osaka, Japan"
Port Quarantine,Japan,27/06/2021,,,,3110,4,3010,96,,,"Port Quarantine, Japan"
Saga,Japan,27/06/2021,"33,286977","130,115738",POINT(130.115738 33.286977),2569,25,2549,-5,,,"Saga, Japan"
Saitama,Japan,27/06/2021,"35,997101","139,347635",POINT(139.347635 35.997101),46236,831,44257,1148,,,"Saitama, Japan"
Shiga,Japan,27/06/2021,"35,215827","136,138064",POINT(136.138064 35.215827),5546,90,5334,122,,,"Shiga, Japan"
Shimane,Japan,27/06/2021,"35,07076","132,554064",POINT(132.554064 35.07076),564,1,549,14,,,"Shimane, Japan"
Shizuoka,Japan,27/06/2021,"34,916975","138,407784",POINT(138.407784 34.916975),9257,149,8741,367,,,"Shizuoka, Japan"
Tochigi,Japan,27/06/2021,"36,689912","139,819213",POINT(139.819213 36.689912),6971,81,6641,249,,,"Tochigi, Japan"
