province_state,country_region,date,latitude,longitude,location_geom,confirmed,deaths,recovered,active,fips,admin2,combined_key
,Maldives,25/06/2020,"3,2028","73,2207",POINT(73.2207 3.2028),2277,8,1848,421,,,Maldives
,Mali,25/06/2020,"17,570692","-3,996166",POINT(-3.996166 17.570692),2039,113,1383,543,,,Mali
,Malta,25/06/2020,"35,9375","14,3754",POINT(14.3754 35.9375),668,9,627,32,,,Malta
,Mauritania,25/06/2020,"21,0079","-10,9408",POINT(-10.9408 21.0079),3739,119,1225,2395,,,Mauritania
,Mauritius,25/06/2020,"-20,348404","57,552152",POINT(57.552152 -20.348404),341,10,326,5,,,Mauritius
,Moldova,25/06/2020,"47,4116","28,3699",POINT(28.3699 47.4116),15453,502,8599,6352,,,Moldova
,Monaco,25/06/2020,"43,7333","7,4167",POINT(7.4167 43.7333),102,4,95,3,,,Monaco
,Mongolia,25/06/2020,"46,8625","103,8467",POINT(103.8467 46.8625),219,0,170,49,,,Mongolia
,Montenegro,25/06/2020,"42,708678","19,37439",POINT(19.37439 42.708678),414,9,315,90,,,Montenegro
,Morocco,25/06/2020,"31,7917","-7,0926",POINT(-7.0926 31.7917),11338,217,8500,2621,,,Morocco
,Mozambique,25/06/2020,"-18,665695","35,529562",POINT(35.529562 -18.665695),788,5,221,562,,,Mozambique
,Namibia,25/06/2020,"-22,9576","18,4904",POINT(18.4904 -22.9576),102,0,21,81,,,Namibia
,Nepal,25/06/2020,"28,1667","84,25",POINT(84.25 28.1667),11162,26,2650,8486,,,Nepal
,Netherlands,25/06/2020,"52,1326","5,2913",POINT(5.2913 52.1326),49914,6100,0,43814,,,Netherlands
,New Zealand,25/06/2020,"-40,9006","174,886",POINT(174.886 -40.9006),1520,22,1484,14,,,New Zealand
,Nicaragua,25/06/2020,"12,865416","-85,207229",POINT(-85.207229 12.865416),2170,74,1238,858,,,Nicaragua
,Niger,25/06/2020,"17,607789","8,081666",POINT(8.081666 17.607789),1056,67,917,72,,,Niger
,Nigeria,25/06/2020,"9,082","8,6753",POINT(8.6753 9.082),22614,549,7822,14243,,,Nigeria
,North Macedonia,25/06/2020,"41,6086","21,7453",POINT(21.7453 41.6086),5595,265,2166,3164,,,North Macedonia
,Norway,25/06/2020,"60,472","8,4689",POINT(8.4689 60.472),8788,249,8138,401,,,Norway
,Oman,25/06/2020,"21,512583","55,923255",POINT(55.923255 21.512583),34902,144,18520,16238,,,Oman
,Panama,25/06/2020,"8,538","-80,7821",POINT(-80.7821 8.538),29037,564,14800,13673,,,Panama
,Papua New Guinea,25/06/2020,"-6,314993","143,95555",POINT(143.95555 -6.314993),10,0,8,2,,,Papua New Guinea
,Paraguay,25/06/2020,"-23,4425","-58,4438",POINT(-58.4438 -23.4425),1569,13,976,580,,,Paraguay
,Philippines,25/06/2020,"12,879721","121,774017",POINT(121.774017 12.879721),33069,1212,8910,22947,,,Philippines
,Poland,25/06/2020,"51,9194","19,1451",POINT(19.1451 51.9194),33119,1412,18654,13053,,,Poland
,Portugal,25/06/2020,"39,3999","-8,2245",POINT(-8.2245 39.3999),40415,1549,26382,12484,,,Portugal
,Qatar,25/06/2020,"25,3548","51,1839",POINT(51.1839 25.3548),91838,106,74544,17188,,,Qatar
,Romania,25/06/2020,"45,9432","24,9668",POINT(24.9668 45.9432),25286,1565,17906,5815,,,Romania
,Rwanda,25/06/2020,"-1,9403","29,8739",POINT(29.8739 -1.9403),850,2,385,463,,,Rwanda
,Saint Kitts and Nevis,25/06/2020,"17,357822","-62,782998",POINT(-62.782998 17.357822),15,0,15,0,,,Saint Kitts and Nevis
,Saint Lucia,25/06/2020,"13,9094","-60,9789",POINT(-60.9789 13.9094),19,0,19,0,,,Saint Lucia
,Saint Vincent and the Grenadines,25/06/2020,"12,9843","-61,2872",POINT(-61.2872 12.9843),29,0,29,0,,,Saint Vincent and the Grenadines
,San Marino,25/06/2020,"43,9424","12,4578",POINT(12.4578 43.9424),698,42,653,3,,,San Marino
,Sao Tome and Principe,25/06/2020,"0,18636","6,613081",POINT(6.613081 0.18636),711,13,214,484,,,Sao Tome and Principe
,Saudi Arabia,25/06/2020,"23,885942","45,079162",POINT(45.079162 23.885942),170639,1428,117882,51329,,,Saudi Arabia
,Senegal,25/06/2020,"14,4974","-14,4524",POINT(-14.4524 14.4974),6233,94,4162,1977,,,Senegal
,Serbia,25/06/2020,"44,0165","21,0059",POINT(21.0059 44.0165),13372,264,12154,954,,,Serbia
,Seychelles,25/06/2020,"-4,6796","55,492",POINT(55.492 -4.6796),11,0,11,0,,,Seychelles
,Sierra Leone,25/06/2020,"8,460555","-11,779889",POINT(-11.779889 8.460555),1354,56,869,429,,,Sierra Leone
,Singapore,25/06/2020,"1,2833","103,8333",POINT(103.8333 1.2833),42736,26,36604,6106,,,Singapore
,Slovakia,25/06/2020,"48,669","19,699",POINT(19.699 48.669),1630,28,1452,150,,,Slovakia
,Slovenia,25/06/2020,"46,1512","14,9955",POINT(14.9955 46.1512),1547,109,1376,62,,,Slovenia
,Somalia,25/06/2020,"5,152149","46,199616",POINT(46.199616 5.152149),2878,90,868,1920,,,Somalia
,South Africa,25/06/2020,"-30,5595","22,9375",POINT(22.9375 -30.5595),118375,2292,59974,56109,,,South Africa
,South Sudan,25/06/2020,"6,877","31,307",POINT(31.307 6.877),1942,36,224,1682,,,South Sudan
,Sri Lanka,25/06/2020,"7,873054","80,771797",POINT(80.771797 7.873054),2010,11,1602,397,,,Sri Lanka
,Sudan,25/06/2020,"12,8628","30,2176",POINT(30.2176 12.8628),8984,556,3806,4622,,,Sudan
,Suriname,25/06/2020,"3,9193","-56,0278",POINT(-56.0278 3.9193),373,10,176,187,,,Suriname
,Switzerland,25/06/2020,"46,8182","8,2275",POINT(8.2275 46.8182),31428,1958,29000,470,,,Switzerland
,Syria,25/06/2020,"34,802075","38,996815",POINT(38.996815 34.802075),242,7,96,139,,,Syria
,Taiwan*,25/06/2020,"23,7",121,POINT(121 23.7),447,7,435,5,,,Taiwan*
,Tajikistan,25/06/2020,"38,861034","71,276093",POINT(71.276093 38.861034),5691,52,4267,1372,,,Tajikistan
,Tanzania,25/06/2020,"-6,369028","34,888822",POINT(34.888822 -6.369028),509,21,183,305,,,Tanzania
,Thailand,25/06/2020,"15,870032","100,992541",POINT(100.992541 15.870032),3158,58,3038,62,,,Thailand
,Timor-Leste,25/06/2020,"-8,874217","125,727539",POINT(125.727539 -8.874217),24,0,24,0,,,Timor-Leste
,Togo,25/06/2020,"8,6195","0,8248",POINT(0.8248 8.6195),588,14,394,180,,,Togo
,Trinidad and Tobago,25/06/2020,"10,6918","-61,2225",POINT(-61.2225 10.6918),123,8,109,6,,,Trinidad and Tobago
,Tunisia,25/06/2020,"33,886917","9,537499",POINT(9.537499 33.886917),1162,50,1023,89,,,Tunisia
,Turkey,25/06/2020,"38,9637","35,2433",POINT(35.2433 38.9637),193115,5046,165706,22363,,,Turkey
,Uganda,25/06/2020,"1,373333","32,290275",POINT(32.290275 1.373333),821,0,731,90,,,Uganda
,United Arab Emirates,25/06/2020,"23,424076","53,847818",POINT(53.847818 23.424076),46563,308,35165,11090,,,United Arab Emirates
,Uruguay,25/06/2020,"-32,5228","-55,7658",POINT(-55.7658 -32.5228),907,26,818,63,,,Uruguay
,Uzbekistan,25/06/2020,"41,377491","64,585262",POINT(64.585262 41.377491),7177,20,4877,2280,,,Uzbekistan
,Venezuela,25/06/2020,"6,4238","-66,5897",POINT(-66.5897 6.4238),4563,39,1327,3197,,,Venezuela
,Vietnam,25/06/2020,"14,058324","108,277199",POINT(108.277199 14.058324),352,0,329,23,,,Vietnam
,West Bank and Gaza,25/06/2020,"31,9522","35,2332",POINT(35.2332 31.9522),1382,3,446,933,,,West Bank and Gaza
,Western Sahara,25/06/2020,"24,2155","-12,8858",POINT(-12.8858 24.2155),10,1,8,1,,,Western Sahara
,Yemen,25/06/2020,"15,552727","48,516388",POINT(48.516388 15.552727),1076,288,386,402,,,Yemen
,Zambia,25/06/2020,"-13,133897","27,849332",POINT(27.849332 -13.133897),1497,18,1223,256,,,Zambia
,Zimbabwe,25/06/2020,"-19,015438","29,154857",POINT(29.154857 -19.015438),551,6,128,417,,,Zimbabwe
,Afghanistan,27/06/2021,"33,93911","67,709953",POINT(67.709953 33.93911),111592,4519,68288,38785,,,Afghanistan
,Albania,27/06/2021,"41,1533","20,1683",POINT(20.1683 41.1533),132512,2456,129990,66,,,Albania
,Algeria,27/06/2021,"28,0339","1,6596",POINT(1.6596 28.0339),138465,3693,96335,38437,,,Algeria
,Andorra,27/06/2021,"42,5063","1,5218",POINT(1.5218 42.5063),13882,127,13697,58,,,Andorra
,Angola,27/06/2021,"-11,2027","17,8739",POINT(17.8739 -11.2027),38556,889,32791,4876,,,Angola
,Antigua and Barbuda,27/06/2021,"17,0608","-61,7964",POINT(-61.7964 17.0608),1263,42,1221,0,,,Antigua and Barbuda
,Argentina,27/06/2021,"-38,4161","-63,6167",POINT(-63.6167 -38.4161),4405247,92568,4027510,285169,,,Argentina
,Armenia,27/06/2021,"40,0691","45,0382",POINT(45.0382 40.0691),224797,4508,216558,3731,,,Armenia
Australian Capital Territory,Australia,27/06/2021,"-35,4735","149,0124",POINT(149.0124 -35.4735),124,3,121,0,,,"Australian Capital Territory, Australia"
New South Wales,Australia,27/06/2021,"-33,8688","151,2093",POINT(151.2093 -33.8688),5778,54,0,5724,,,"New South Wales, Australia"
Northern Territory,Australia,27/06/2021,"-12,4634","130,8456",POINT(130.8456 -12.4634),181,0,174,7,,,"Northern Territory, Australia"
Queensland,Australia,27/06/2021,"-27,4698","153,0251",POINT(153.0251 -27.4698),1686,7,1628,51,,,"Queensland, Australia"
South Australia,Australia,27/06/2021,"-34,9285","138,6007",POINT(138.6007 -34.9285),794,4,781,9,,,"South Australia, Australia"
Tasmania,Australia,27/06/2021,"-42,8821","147,3272",POINT(147.3272 -42.8821),234,13,221,0,,,"Tasmania, Australia"
Victoria,Australia,27/06/2021,"-37,8136","144,9631",POINT(144.9631 -37.8136),20708,820,19846,42,,,"Victoria, Australia"
Western Australia,Australia,27/06/2021,"-31,9505","115,8605",POINT(115.8605 -31.9505),1023,9,1010,4,,,"Western Australia, Australia"
,Austria,27/06/2021,"47,5162","14,5501",POINT(14.5501 47.5162),650261,10700,637424,2137,,,Austria
,Azerbaijan,27/06/2021,"40,1431","47,5769",POINT(47.5769 40.1431),335836,4968,330084,784,,,Azerbaijan
,Bahamas,27/06/2021,"25,025885","-78,035889",POINT(-78.035889 25.025885),12467,245,11434,788,,,Bahamas
,Bahrain,27/06/2021,"26,0275","50,55",POINT(50.55 26.0275),265247,1345,259787,4115,,,Bahrain
,Bangladesh,27/06/2021,"23,685","90,3563",POINT(90.3563 23.685),888406,14172,804103,70131,,,Bangladesh
